,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
21,D. Parejo,2.0,31.0,182.0,74.0,7.333333333333332,28.0,276500,0.1519893,0.06221549999999999,0.0466545,0.619248,0.04911,0.31568999999999997,1.2921117,0.35385599999999995,0.61971,0.28998,0.0795,0.0023399999999999996,0.004679999999999999,128.2889
22,D. Pereira,2.0,29.0,188.0,83.0,4.2,24.0,343156,0.0808689,0.022172999999999995,0.015846,0.10999799999999997,0.04667999999999999,0.35351999999999995,1.3172094,0.1617378,0.35351999999999995,0.34017,0.056699999999999987,0.0,0.0,89.9556
23,D. Praet,2.0,26.0,181.0,78.0,6.0,19.0,107659,0.09838709999999999,0.013281,0.029896499999999996,0.3019416,0.02097,0.34275,1.4937641,0.38336339999999997,0.31128,0.25529999999999997,0.04548,0.0,0.0,85.7778
24,D. Rice,2.0,21.0,185.0,76.0,5.7,49.5,238354,0.045134099999999996,0.006327,0.009462,0.1031886,0.10638,0.55848,1.6541779,0.23538989999999996,0.04323,0.18615,0.03324,0.0,0.0,90.2444
25,D. Zakaria,2.0,24.0,191.0,80.0,6.0,36.0,65712,0.08965709999999999,0.030381,0.010117499999999998,0.16895459999999998,0.08532,0.4692,1.0170010999999999,0.3999504,0.2346,0.45852,0.10308,0.0,0.0,84.4
26,D. van de Beek,2.0,23.0,184.0,76.0,4.75,44.0,1087517,0.2278821,0.0970425,0.065493,0.4458411,0.02808,0.27576,0.8708933,0.2848308,0.20682,0.2196,0.038310000000000004,0.0,0.0,117.4889
27,E. Can,2.0,26.0,184.0,82.0,4.6923076923076925,24.0,2823284,0.11092919999999999,0.048278999999999996,0.020120999999999997,0.238329,0.07626,0.36851999999999996,1.8399382,0.34925819999999996,0.38123999999999997,0.49982999999999994,0.11435999999999999,0.0,0.004229999999999999,70.8222
28,E. Dier,2.0,26.0,188.0,88.0,6.461538461538463,20.0,827133,0.0495573,0.009718499999999998,0.016188,0.13211399999999998,0.11918999999999999,0.35753999999999997,1.3237714999999999,0.09579719999999999,0.09534000000000001,0.29967,0.0579,0.0,0.0,88.1
29,E. Forsberg,2.0,29.0,179.0,78.0,5.909090909090909,22.5,122997,0.2534901,0.10114649999999999,0.06896999999999999,0.6713079,0.00969,0.1113,1.1689557000000002,0.568032,0.44522999999999996,0.23714999999999997,0.00483,0.0,0.00483,61.9889
30,F. Anderson,2.0,27.0,175.0,70.0,7.166666666666668,32.0,501782,0.19048859999999998,0.058624499999999996,0.058624499999999996,0.5442572999999999,0.00561,0.36471,2.1521822,0.8109588,0.43767,0.26934,0.02244,0.0,0.0,53.4667
31,F. Coquelin,2.0,29.0,176.0,74.0,6.538461538461537,19.0,42457,0.032679299999999994,0.00399,0.0080085,0.16342559999999998,0.07580999999999999,0.71187,1.2706838,0.33913139999999997,0.37068,0.38751,0.08847,0.0042,0.0,71.2222
32,F. Grillitsch,2.0,25.0,187.0,74.0,4.9,20.0,23993,0.0709167,0.0138795,0.0277875,0.2836959,0.051179999999999996,0.62154,1.6145876000000001,0.265974,0.52281,0.39852,0.07677,0.0,0.0,82.0556
33,F. Kessi̩,2.0,24.0,183.0,74.0,7.0,20.0,518657,0.11660369999999999,0.033003,0.022828499999999998,0.3446313,0.04008,0.23507999999999998,1.1548363,0.33168179999999997,0.30185999999999996,0.46214999999999995,0.06677999999999999,0.0,0.0,112.3
34,F. Kostic,2.0,28.0,184.0,82.0,7.333333333333332,32.0,148036,0.25782599999999994,0.0703095,0.09268199999999999,0.7114659,0.03027,0.22205999999999998,1.0010157,0.5841824999999999,0.32298,0.30617999999999995,0.047099999999999996,0.0,0.0033599999999999997,89.1667
35,F. Neuhaus,2.0,23.0,183.0,74.0,7.142857142857142,17.5,46916,0.2283768,0.0513285,0.040327499999999995,0.31823759999999995,0.02316,0.27404999999999996,1.2044408,0.4567827,0.54426,0.34353,0.07335,0.0,0.0,77.7222
