,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
20,D. SÃ¡nchez,3.0,24.0,187.0,81.0,6.0,48.0,610150,0.0318091,0.0102912,0.0051456,0.0413419,0.1074596,0.3224021,1.2432393000000002,0.07632860000000001,0.0962756,0.20823210000000003,0.031338500000000005,0.0,0.0022367999999999997,104.0667
21,D. Upamecano,3.0,22.0,185.0,83.0,7.0,45.0,99135,0.0641478,0.018331200000000002,0.0,0.0981084,0.07702980000000001,0.43831960000000003,1.3541675999999998,0.2453041,0.10624800000000001,0.24704990000000002,0.053124000000000005,0.0026562,0.0,87.7111
22,DjenÃ©,3.0,29.0,187.0,72.0,6.0,24.0,17900,0.019065600000000002,0.0051456,0.0,0.0413088,0.040262400000000004,0.42941900000000005,1.2128484,0.18109010000000003,0.1856311,0.3377102,0.0626304,0.0044735999999999995,0.0022367999999999997,104.1778
23,F. Mendy,3.0,25.0,180.0,73.0,3.5,32.0,1135175,0.058355300000000006,0.0189208,0.050384000000000005,0.37737309999999996,0.032853,0.2629172,1.5349979999999999,0.6147001,0.3532979,0.24374130000000002,0.032853,0.0027494,0.0,85.0778
24,F. Tomori,3.0,23.0,185.0,75.0,5.0,16.0,536092,0.0505768,0.021868800000000004,0.021868800000000004,0.11128220000000001,0.1329498,0.3347511,1.6362606,0.1854924,0.12582000000000002,0.1851651,0.037979000000000006,0.0,0.0,98.1444
25,Felipe_POR,3.0,31.0,190.0,83.0,4.666666666666667,25.5,561000,0.10108740000000001,0.048508,0.0181704,0.0449167,0.0606266,0.498154,1.7309481,0.09734709999999999,0.17395780000000002,0.2635696,0.0579937,0.0052658,0.0026329,88.4
26,G. Mancini,3.0,24.0,190.0,77.0,5.333333333333333,22.5,139915,0.08281619999999999,0.06308720000000001,0.0157584,0.11204350000000002,0.0651468,0.4355236,0.8874567,0.1364051,0.18174,0.3978009,0.07887050000000001,0.0068502,0.0,67.9444
27,G. Paulista,3.0,30.0,185.0,72.0,4.846153846153847,17.5,830644,0.023832000000000002,0.004824000000000001,0.004824000000000001,0.032769000000000006,0.1635427,0.4717784,0.9025460999999999,0.05958,0.1970947,0.1698337,0.046134,0.0020970000000000003,0.0020970000000000003,111.1222
28,G. PiquÃ©,3.0,33.0,194.0,85.0,7.0,20.0,18268574,0.0651077,0.0464176,0.004234400000000001,0.05991100000000001,0.1375166,0.2237033,1.0205949,0.0937723,0.11552140000000001,0.1778722,0.062350800000000005,0.0018407000000000002,0.0,127.0667
29,H. BellerÃ­n,3.0,25.0,178.0,74.0,5.0,32.0,3075710,0.0626583,0.028997600000000002,0.0797032,0.2640387,0.0503979,0.22051120000000002,1.0978599,0.3311655,0.0630032,0.23626200000000003,0.0409614,0.0,0.0,73.9667
30,H. Maguire,3.0,27.0,194.0,100.0,6.5,56.0,1885986,0.0878474,0.031141600000000002,0.0266928,0.1427603,0.12367640000000002,0.3111016,1.7062536,0.26079490000000005,0.15652939999999999,0.1893824,0.0405886,0.0,0.0019339000000000001,120.5778
31,I. Diop,3.0,23.0,194.0,92.0,5.4444444444444455,28.0,55282,0.0676564,0.041754400000000004,0.0,0.041871500000000006,0.15422270000000002,0.4422573,1.3154139,0.0805323,0.1292684,0.1950443,0.0521687,0.0,0.0,102.7333
