,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
139,I. Williams,4.0,26.0,186.0,78.0,6.857142857142857,40.0,291718,2.0915,0.8569,0.3133,0.0,0.1106,15.2948,0.9674,4.6161,0.3225,0.0184,0.2948,9.2322,3.9896,3.105,1.6216,1.4097,1.0412,0.1014,0.0,0.0,0.0184,0.0092,0.0092,0.0092,0.0,1.1701,1.0043,0.1658,0.4146,0.1751,108.5333
143,J. Bamba,4.0,24.0,175.0,72.0,3.5,16.0,55040,2.0023,0.836,0.2374,0.0,0.1651,26.1227,1.5069,4.1904,0.4335,0.0516,0.7844,7.7924,3.0963,2.5183,1.3521,1.6823,0.7431,0.0619,0.0,0.0,0.0516,0.0,0.0619,0.0206,0.0,1.1869,1.0011,0.1858,0.289,0.2167,96.8889
145,J. Bowen,4.0,24.0,0.0,0.0,5.375,16.0,44053,2.6846,1.0947,0.4778,0.0,0.0956,17.6803,1.225,3.6924,0.6169,0.0348,0.9557,10.139,4.5873,2.7368,1.4162,2.007,0.7906,0.0695,0.0,0.0,0.0174,0.0,0.0348,0.0174,0.0,1.0947,1.0078,0.0869,0.1825,0.1216,115.1
146,J. Brandt,4.0,24.0,186.0,84.0,6.555555555555555,40.0,767487,1.8175,0.8148,0.3029,0.0,0.3029,43.0467,2.413,6.6539,0.6476,0.0313,0.6267,7.5,3.2486,3.374,1.9011,0.679,0.5014,0.0209,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,1.2744,1.0028,0.2716,0.4596,0.3029,95.7333
150,J. F̩lix,4.0,21.0,181.0,70.0,5.5,81.0,3266789,2.8161,0.9644,0.4822,0.0,0.1929,19.3656,1.0994,9.2585,0.3665,0.0,0.27,5.8058,2.6039,1.9481,0.7908,2.1217,1.3888,0.2122,0.0,0.0,0.0772,0.0,0.0386,0.0,0.0,1.2923,1.0416,0.2508,0.6751,0.3665,51.8444
159,J. Kluivert,4.0,21.0,171.0,66.0,5.181818181818182,22.5,810572,2.2758,0.8796,0.2792,0.0,0.1955,22.6885,1.7592,8.9497,0.8936,0.0558,0.4608,8.6984,4.0071,4.3422,2.2898,1.7034,1.6056,0.1815,0.014,0.0,0.014,0.0,0.0,0.0,0.0,1.3683,1.0332,0.3351,0.5585,0.5585,71.6222
164,J. Mateta,4.0,23.0,190.0,84.0,4.0,17.5,217,3.2382,1.269,0.5251,0.0,0.0292,10.9838,0.8752,3.4862,0.1896,0.0438,0.1459,14.8347,6.5786,2.4506,1.1669,1.2982,1.2836,0.0729,0.0146,0.0146,0.0292,0.0,0.0292,0.0,0.0,1.269,1.0211,0.248,0.5835,0.2917,68.5556
173,J. Vardy,4.0,33.0,179.0,74.0,6.125,16.0,1198681,2.2909,1.1957,0.6029,0.0,0.1105,8.7317,0.9244,4.6924,0.422,0.0603,0.1005,8.6312,3.4465,1.3062,0.5426,0.5526,0.6933,0.0904,0.0,0.01,0.0603,0.0,0.1507,0.0201,0.0,1.0852,0.9948,0.0904,0.2713,0.1306,99.5222
176,Joelinton,4.0,24.0,186.0,81.0,5.375,20.0,106490,2.3469,0.832,0.2732,0.0,0.149,20.8237,1.3411,5.5505,0.7202,0.1118,0.5339,18.6134,7.9222,3.4892,1.8998,1.5397,1.8502,0.2359,0.0,0.0124,0.0248,0.0,0.0,0.0124,0.0,1.2417,1.043,0.1987,0.447,0.1987,80.5333
178,K. Benzema,4.0,33.0,185.0,81.0,7.090909090909091,32.0,34233539,3.2178,1.3842,0.5393,0.0,0.2607,30.776,1.7168,8.1614,0.3056,0.018,0.2517,6.2019,2.5527,2.1212,1.3213,0.5033,0.6292,0.009,0.0,0.0,0.018,0.0,0.0629,0.0,0.0,1.1685,1.0606,0.1079,0.4674,0.1348,111.2556
