,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
165,J. Matip,3.0,29.0,195.0,90.0,5.833333333333333,32.0,111143,0.4589,0.0888,0.0444,0.0,0.0148,63.5181,0.2368,12.227,1.5395,0.4441,1.7319,8.2747,5.5658,0.2812,0.2072,0.6217,0.8289,0.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1398,0.9918,0.148,0.0148,0.4885,67.5556
170,J. Stones,3.0,26.0,188.0,70.0,7.083333333333333,36.0,772639,0.5356,0.1737,0.0434,0.0,0.029,81.705,0.2461,15.6345,0.7962,0.304,1.0713,6.1091,4.1547,0.4198,0.3764,0.2461,0.333,0.0145,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,1.245,1.0134,0.2316,0.1592,0.6225,69.0778
171,J. Tah,3.0,24.0,195.0,97.0,6.3,29.5,178394,0.3371,0.0892,0.0297,0.0,0.0397,62.3397,0.2776,7.9015,0.7832,0.4362,1.2194,5.2545,3.4303,0.6048,0.456,0.4858,0.6742,0.0991,0.0,0.0099,0.0,0.0397,0.0,0.0,0.0,1.0311,0.9914,0.0397,0.0397,0.1884,100.8667
172,J. Tarkowski,3.0,28.0,185.0,81.0,2.7,20.0,23274,0.537,0.1726,0.0384,0.0,0.0192,22.2866,0.211,2.6084,1.6015,1.3234,1.3617,10.5008,7.0293,0.3261,0.2877,0.796,0.9398,0.211,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,1.0165,0.9973,0.0192,0.0096,0.0479,104.2778
186,K. Koulibaly,3.0,29.0,195.0,89.0,6.454545454545454,24.0,1443167,0.5475,0.1795,0.0628,0.0,0.0269,67.6324,0.2872,7.6653,0.9963,0.6732,1.3105,6.4805,3.5903,0.5475,0.377,0.4308,1.2746,0.2693,0.009,0.018,0.0,0.009,0.0,0.0,0.0,1.0232,1.0143,0.009,0.018,0.0449,111.4111
188,K. Manolas,3.0,29.0,189.0,83.0,5.5,21.5,602431,0.5644,0.1683,0.099,0.0,0.0099,42.0541,0.1188,6.9017,0.5248,0.5842,1.4358,4.9015,3.0894,0.1386,0.1188,0.5743,0.8615,0.1287,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,1.0595,1.0298,0.0297,0.1287,0.1683,100.9889
190,K. Tierney,3.0,23.0,178.0,70.0,3.0625,28.0,587798,0.1068,0.0427,0.0534,0.0,0.0534,11.9551,0.406,5.7265,0.3098,0.0321,0.4808,1.6774,0.9615,0.5128,0.3846,0.2244,0.235,0.0855,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,1.0791,1.0256,0.0534,0.1389,0.1175,93.6
191,K. Trippier,3.0,30.0,178.0,71.0,6.0,28.0,691216,0.2843,0.0547,0.0109,0.0,0.1968,42.6327,2.1541,8.4741,1.8588,0.2078,0.9513,6.4403,3.7833,0.831,0.5248,0.7982,0.8201,0.0656,0.0,0.0,0.0109,0.0,0.0,0.0219,0.0,1.0825,1.006,0.0765,0.1203,0.3718,91.4556
193,K. Walker_City,3.0,30.0,178.0,70.0,6.333333333333333,28.0,1786433,0.5592,0.0946,0.0258,0.0,0.1032,65.4225,0.7226,7.9488,1.0151,0.1032,1.0495,7.1057,4.1034,1.2388,0.8258,0.542,0.6882,0.1376,0.0086,0.0,0.0,0.0258,0.0,0.0,0.0,1.1011,0.9979,0.1032,0.1032,0.3097,116.2444
194,K. Zouma,3.0,26.0,190.0,96.0,6.416666666666667,32.0,1500587,0.6504,0.1829,0.0407,0.0,0.0305,43.3333,0.1626,9.3089,1.128,0.5386,1.8598,7.8557,5.2642,0.5691,0.4675,0.5996,0.8435,0.1321,0.0102,0.0,0.0102,0.0102,0.0102,0.0,0.0,1.0772,0.9858,0.0915,0.0407,0.1728,98.4
199,L. Bonucci,3.0,33.0,190.0,85.0,6.4,20.0,4299209,0.5557,0.1772,0.0725,0.0,0.0242,52.5054,0.3543,6.2008,0.3302,0.4429,1.1516,3.7366,2.0374,0.153,0.1127,0.604,0.5637,0.1208,0.0,0.0081,0.0081,0.0081,0.0081,0.0,0.0,1.0227,0.9986,0.0242,0.0322,0.1047,124.1778
202,L. Digne,3.0,27.0,178.0,74.0,6.3,28.0,1964483,0.8289,0.2135,0.0754,0.0,0.1633,36.2713,1.9593,9.0678,1.7332,0.1884,1.5825,9.746,5.7019,1.0299,0.5777,0.8038,1.168,0.1633,0.0,0.0126,0.0,0.0126,0.0,0.0,0.0,1.0927,1.0173,0.0754,0.113,0.4521,79.6222
206,L. Klostermann,3.0,24.0,189.0,83.0,6.8,32.0,52955,0.4782,0.1626,0.0956,0.0,0.0478,33.5611,0.6599,7.6419,0.9277,0.2391,1.119,5.3369,3.1562,0.6504,0.3921,0.4687,0.526,0.0287,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,1.119,0.9947,0.1243,0.0861,0.2582,104.5556
216,L. Shaw,3.0,25.0,185.0,75.0,6.076923076923077,17.5,2862273,0.7465,0.2881,0.0262,0.0,0.0917,47.0692,1.0084,12.0882,1.5847,0.3012,1.0608,8.0806,4.5838,1.4144,0.9953,0.6679,1.1918,0.3143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1263,1.0084,0.1179,0.131,0.3012,76.3556
221,Luiz Felipe,3.0,23.0,187.0,80.0,7.0,32.0,79400,0.3878,0.0776,0.031,0.0,0.0465,43.3867,0.1861,11.9597,1.1479,0.7911,2.001,6.2203,3.7229,0.5895,0.4498,0.667,1.0858,0.3568,0.0,0.0,0.0,0.0465,0.0,0.0155,0.0,1.2099,1.0238,0.1861,0.2017,0.8687,64.4667
222,M Skriniar,3.0,25.0,187.0,80.0,6.3,48.0,706256,0.4423,0.1616,0.034,0.0,0.0085,59.0869,0.2467,6.9329,0.9442,0.4849,0.9527,6.448,3.7174,0.3913,0.3062,0.706,1.259,0.1701,0.0,0.0,0.0085,0.0085,0.0,0.0085,0.0,1.0038,1.0038,0.0,0.0255,0.0425,117.5556
